nohup: ignoring input
timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/01/09 15:22:59.624, 1 %, 2 %, 450 MiB, 39
2026/01/09 15:23:02.625, 0 %, 1 %, 446 MiB, 39
2026/01/09 15:23:05.627, 6 %, 5 %, 447 MiB, 39
2026/01/09 15:23:08.628, 0 %, 5 %, 446 MiB, 38
2026/01/09 15:23:11.629, 14 %, 15 %, 444 MiB, 38
2026/01/09 15:23:14.630, 29 %, 23 %, 444 MiB, 38
2026/01/09 15:23:17.632, 0 %, 9 %, 445 MiB, 38
2026/01/09 15:23:20.633, 5 %, 11 %, 444 MiB, 37
2026/01/09 15:23:23.635, 20 %, 21 %, 444 MiB, 37
2026/01/09 15:23:26.636, 22 %, 25 %, 445 MiB, 37
2026/01/09 15:23:29.637, 0 %, 5 %, 444 MiB, 37
2026/01/09 15:23:32.637, 0 %, 5 %, 442 MiB, 37
2026/01/09 15:23:35.638, 0 %, 5 %, 442 MiB, 37
2026/01/09 15:23:38.638, 2 %, 6 %, 442 MiB, 37
2026/01/09 15:23:41.639, 0 %, 5 %, 441 MiB, 37
2026/01/09 15:23:44.640, 0 %, 5 %, 441 MiB, 37
2026/01/09 15:23:47.640, 2 %, 6 %, 441 MiB, 37
2026/01/09 15:23:50.641, 0 %, 5 %, 440 MiB, 37
2026/01/09 15:23:53.641, 10 %, 13 %, 439 MiB, 37
2026/01/09 15:23:56.642, 0 %, 5 %, 440 MiB, 37
2026/01/09 15:23:59.643, 4 %, 8 %, 439 MiB, 37
2026/01/09 15:24:02.643, 0 %, 9 %, 439 MiB, 37
2026/01/09 15:24:05.644, 23 %, 20 %, 440 MiB, 37
2026/01/09 15:24:08.644, 0 %, 9 %, 439 MiB, 37
2026/01/09 15:24:11.645, 0 %, 9 %, 440 MiB, 37
2026/01/09 15:24:14.646, 0 %, 9 %, 439 MiB, 37
2026/01/09 15:24:17.647, 15 %, 16 %, 439 MiB, 37
2026/01/09 15:24:20.648, 1 %, 9 %, 439 MiB, 37
2026/01/09 15:24:23.650, 0 %, 9 %, 438 MiB, 37
2026/01/09 15:24:26.651, 0 %, 9 %, 439 MiB, 37
2026/01/09 15:24:29.652, 7 %, 5 %, 438 MiB, 38
2026/01/09 15:24:32.653, 0 %, 1 %, 438 MiB, 38
2026/01/09 15:24:35.655, 1 %, 2 %, 439 MiB, 39
2026/01/09 15:24:38.656, 0 %, 1 %, 438 MiB, 39
2026/01/09 15:24:41.658, 7 %, 5 %, 439 MiB, 39
2026/01/09 15:24:44.659, 8 %, 6 %, 465 MiB, 39
2026/01/09 15:24:47.660, 10 %, 7 %, 470 MiB, 39
2026/01/09 15:24:50.660, 4 %, 4 %, 469 MiB, 39
2026/01/09 15:24:53.661, 0 %, 1 %, 450 MiB, 39
2026/01/09 15:24:56.662, 0 %, 9 %, 443 MiB, 38
2026/01/09 15:24:59.664, 0 %, 9 %, 448 MiB, 38
2026/01/09 15:25:02.665, 2 %, 10 %, 459 MiB, 38
2026/01/09 15:25:05.667, 12 %, 15 %, 458 MiB, 38
2026/01/09 15:25:08.668, 5 %, 11 %, 450 MiB, 38
2026/01/09 15:25:11.669, 14 %, 16 %, 448 MiB, 37
2026/01/09 15:25:14.670, 5 %, 11 %, 450 MiB, 37
2026/01/09 15:25:17.672, 1 %, 2 %, 454 MiB, 39
2026/01/09 15:25:20.673, 2 %, 2 %, 465 MiB, 39
2026/01/09 15:25:23.674, 1 %, 1 %, 462 MiB, 39
2026/01/09 15:25:26.675, 0 %, 1 %, 467 MiB, 39
2026/01/09 15:25:29.676, 1 %, 2 %, 467 MiB, 39
2026/01/09 15:25:32.678, 1 %, 2 %, 465 MiB, 40
